work_id,payment_status,payment_risk_score,payment_anomaly_status,payment_signal_count,payment_high_signal_count,payment_reasons,payment_evidence
WS/MP176/2026-2027/278428,EVALUABLE,0.0,NORMAL,0,0,[],"{""family_contributions"": {""completion_progress"": 0, ""transaction_activity"": 0, ""utilization_expenditure"": 0, ""vendor_concentration"": 0}, ""signals"": []}"
WS/MP176/2026-2027/278429,EVALUABLE,0.0,NORMAL,0,0,[],"{""family_contributions"": {""completion_progress"": 0, ""transaction_activity"": 0, ""utilization_expenditure"": 0, ""vendor_concentration"": 0}, ""signals"": []}"
WS/MP180/2023-2024/66158,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66159,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66160,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66161,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66162,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66163,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66164,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66190,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66191,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66192,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66193,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66194,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66195,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66203,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66229,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66230,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66231,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66232,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66233,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66234,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66235,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66236,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66237,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
WS/MP180/2023-2024/66267,NOT_EVALUABLE,0.0,NOT_EVALUABLE,0,0,[],"{""available_signals"": [], ""reason"": ""no_valid_payment_activity""}"
