sr_no,state,mp,constituency,allocated_amount,work_id_canonical,work_id_status,house,source_file,elected_nominated
117,Andhra Pradesh,Daggubati Purandeshwari,RAJAHMUNDRY,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
118,Andhra Pradesh,DAGGUMALLA PRASADA RAO,CHITTOOR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
119,Rajasthan,DAMODAR AGARWAL,BHILWARA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
120,Uttar Pradesh,DAROGA PRASAD SAROJ,LALGANJ (SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
121,Madhya Pradesh,DARSHAN SINGH CHOUDHARY,HOSHANGABAD,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
122,Haryana,DEEPENDER SINGH HOODA,ROHTAK,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
123,Uttar Pradesh,Devendra Alias Bhole Singh,AKBARPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
124,Bihar,DEVESH CHANDRA THAKUR,SITAMARHI,163809205.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
125,Uttar Pradesh,DEVESH SHAKYA,ETAH,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
126,Gujarat,Devusinh Jesingbhai Chauhan,KHEDA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
127,Maharashtra,Dhairyasheel Sambhajirao Mane,HATKANANGLE,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
128,Maharashtra,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
129,Odisha,DHARMENDRA PRADHAN,SAMBALPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
130,Uttar Pradesh,DHARMENDRA YADAV,AZAMGARH,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
131,Gujarat,DHAVAL LAXMANBHAI PATEL,VALSAD(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
132,Bihar,Dileshwar Kamait,SUPAUL,150450930.89,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
133,Assam,Dilip Saikia,Darrang-Udalguri,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
