"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"546","Normal/Others","WS/MP812/2024-2025/135817-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","GP TEKUATAR BAZAR SE PURAB PRIVATE SCHOOL KE PAS TIRAHE PAR AMARNATH MADDHESHIYA KE GHAR KE PAS HIGH MAST KI STHAPANA","17-Aug-2024","236234","27-Feb-2025"
"547","Normal/Others","WS/MP812/2024-2025/135818-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","BARWA BABU PIPRAICH SE 2 KM SE PAHALE HIGH MAST KI STHAPANA","17-Aug-2024","237000","19-Mar-2025"
"548","Normal/Others","WS/MP812/2024-2025/135819-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","LAXMIGANJ BAZAR SRASWATI SHISHU MANDIR KE PAS HIGH MAST KI STHAPANA","17-Aug-2024","236234","27-Feb-2025"
"549","Normal/Others","WS/MP812/2024-2025/135824-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","LALA CHHAPRA ME SHIV MANDIR KE PAS HIGH MAST KI STHAPANA","17-Aug-2024","236234","27-Feb-2025"
"550","Normal/Others","WS/MP812/2024-2025/135827-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","LALA CHHAPRA ME SARVAJNIK STHAL PAR HIGH MAST KI STHAPANA","17-Aug-2024","236234","27-Feb-2025"
"551","Normal/Others","WS/MP812/2024-2025/135830-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","BHATHAHI KHURD AMAWA CHAURAHE SE 2 KM PAHALE HIGH MAST KI STHAPANA","17-Aug-2024","236234","27-Feb-2025"
"552","Normal/Others","WS/MP812/2024-2025/135836-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","MADAR BINDWALIYA DUSADHI PATTI ME HIGH MAST KI STHAPANA","17-Aug-2024","236234","19-Mar-2025"
"553","Normal/Others","WS/MP812/2024-2025/135840-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","MADAR BINDWALIYA KUTTI TOLA PAR HIGH MAST KI STHAPANA","17-Aug-2024","236234","19-Mar-2025"
"554","Normal/Others","WS/MP826/2024-2025/135852-Construction of additional rooms and halls in the existing public and community building","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Raju Bista","DARJEELING","Construction of additional rooms at community center at Naya Busty, PO Lebong  Ref: Lebong Gram Sewa Samaj (9547997874)","16-Aug-2024","473134","07-Mar-2025"
"555","Normal/Others","WS/MP812/2024-2025/135858-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","SOHRA KHURD DOGRAHA KALI MANDIR KE PAS HIGH MAST KI STHAPANA","17-Aug-2024","236234","19-Mar-2025"
"556","Normal/Others","WS/MP812/2024-2025/135859-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","WARD NO 10 ME DACHHIN TOLA JAIRAM SINGH KE GHAR KE KUWE KE PAS HIGH MAST KI STHAPANA","17-Aug-2024","236234","18-Feb-2025"
"557","Normal/Others","WS/MP812/2024-2025/135861-Lighting of public spaces","Uttar Pradesh","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Vijay Kumar Dubey","KUSHI NAGAR","WARD NO 10 MUNDERA RATANPATTI SHIV MANDIR KE PAS HIGH MAST KI STHAPANA","17-Aug-2024","236234","18-Feb-2025"
"558","Normal/Others","WS/MP352/2025-2026/135862-Construction of buildings for crèches and anganwadies","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Shri Hibi Eden","ERNAKULAM","Construction of Smart Anganwadi at Ward 21, Chellanam Grama Panchayath","16-Aug-2024","2362903","23-Sep-2025"
"559","Repair and Renovation","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Shri Hibi Eden","ERNAKULAM","Renovation of Kottakunnu Road at Ward 21, Eloor Muncipality","16-Aug-2024","1500000","NA"
"560","Normal/Others","WS/MP777/2024-2025/135874-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Noida ke Shribalaji Enclave Unnati Vihar Sector 123 men Jagdeep Sing Bisht ke ghar se lekar Rajesh Rai ke ghar ki ore interloking & naali kary, 86 meter","16-Aug-2024","997045","07-Sep-2024"
"561","Normal/Others","WS/MP777/2024-2025/135876-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Noida ke Salarpur men Sheela devi ki meethai ki dukan se lekar ravindra ke makan ki ore interloking & naali kary, 90 meter","16-Aug-2024","997302","07-Sep-2024"
"562","Normal/Others","WS/MP777/2024-2025/135877-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Gram Tigri me rakesh ke office se lekar suman agarwal ke makaan ki ore interlocking & naali kary, 75 meter","16-Aug-2024","998035","07-Sep-2024"
"563","Normal/Others","WS/MP777/2024-2025/135878-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Kakrala men Kinnu Prajapati ki dukan kea age se bahav ki gali ki ore interlocking & naali nirman kary , 76 meter","16-Aug-2024","995562","07-Sep-2024"
"564","Normal/Others","WS/MP777/2024-2025/135879-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Bahlolpur Jitendra Colony near Gas Agency gali no 5 jitednra ke ghar se lekar santosh ki dukan ki ore interlocking & naali nirman kary, 95 meter","16-Aug-2024","997045","07-Sep-2024"
"565","Normal/Others","WS/MP777/2024-2025/135880-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Kanawani men Deepak Nagar ke makaan se lekar mohit Sharma ke makaan ki or interlocking & naali kary, 92 meter","16-Aug-2024","998269","07-Sep-2024"
"566","Normal/Others","WS/MP777/2024-2025/135881-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Kakrala colony men Suresh Gupta ke makan ke samne se rajvir ke farm house hote huye pawan singh ke makan tak interlocking & naali nirman kary, 90 meter","16-Aug-2024","998231","07-Sep-2024"
"567","Normal/Others","WS/MP777/2024-2025/135882-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Noida ke Sarswati Kunj chipiyana urf Tigri men Manoj Dixit ke makaan se lekar nor mohammad ke makaan ki or interlocking & naali nirman kary, 100 meter","16-Aug-2024","997224","07-Sep-2024"
"568","Repair and Renovation","WS/MP352/2025-2026/135898-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Shri Hibi Eden","ERNAKULAM","Renovation of EMS Road at Ward 22, Maradu Muncipality","16-Aug-2024","2500000","13-Nov-2025"
"569","Normal/Others","WS/MP18199/2024-2025/135899-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","AMBEDKAR NAGAR","SHIVTAR GUMAN KA PURA PAKKI SADAK SE PAAL BASTI TAK INTERLOCKING KARYA DURI 130M","16-Aug-2024","565743","30-Sep-2024"
"570","Normal/Others","WS/MP18199/2024-2025/135901-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","AMBEDKAR NAGAR","PAKKIN SADAK SHIVKALI INTER COLLEGE SE NANDNAWA GAON TAK KHADANJA KARYA DURI 330M","16-Aug-2024","764954","30-Sep-2024"
"571","Normal/Others","WS/MP18199/2024-2025/135902-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","AMBEDKAR NAGAR","GRAM PANCHAYAT JARAHI ME KALI CHAURA SE PRATHMIK VIDDYALAYA TA INTERLOCKING KARYA DURU 170M","16-Aug-2024","987580","30-Sep-2024"
"572","Normal/Others","WS/MP18199/2024-2025/135903-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","AMBEDKAR NAGAR","GANESHPUR PAKKI SADAK SE KHDANJA SE KEVTAHIYA TAK KHADANJA KARYA DURU 450M","16-Aug-2024","895943","30-Sep-2024"
"573","Normal/Others","WS/MP18199/2024-2025/135904-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","AMBEDKAR NAGAR","BAREHATA KHALWAIYA KHADANJA SE RIWARA TAK KHADANJA KARYA DURU 370M","16-Aug-2024","861327","30-Sep-2024"
"574","Normal/Others","WS/MP18199/2024-2025/135905-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","AMBEDKAR NAGAR","GRAM PANCHAYAT HARDI KOTWA SADAK SE NATRATALIYA ROAD TAK KHADANJA KARYA DURI 120M","16-Aug-2024","268834","30-Sep-2024"
"575","Normal/Others","WS/MP18199/2024-2025/135907-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","AMBEDKAR NAGAR","DAFFARPUR PAKKI SADAK SE TRANSFARMAR TAK NAHAR PATARI PAR KHADANJA KARYA DURI 400M","16-Aug-2024","856066","30-Sep-2024"
"576","Normal/Others","WS/MP643/2024-2025/135908-Purchase Books for Library","Madhya Pradesh","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","Purchase of books for students intellectual development at various schools of Burhanpur district","16-Aug-2024","100000","16-Dec-2024"
"577","Normal/Others","WS/MP643/2024-2025/135909-Purchase Books for Library","Madhya Pradesh","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","Purchase of books for students intellectual development at various schools of Burhanpur district","16-Aug-2024","100000","16-Dec-2024"
"578","Normal/Others","WS/MP643/2024-2025/135911-Purchase Books for Library","Madhya Pradesh","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","Purchase of books for students intellectual development at various schools of Burhanpur district","16-Aug-2024","100000","16-Dec-2024"
"579","Normal/Others","WS/MP643/2024-2025/135912-Purchase Books for Library","Madhya Pradesh","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","Purchase of books for students intellectual development at various schools of Burhanpur district","16-Aug-2024","100000","16-Dec-2024"
"580","Normal/Others","WS/MP643/2024-2025/135914-Purchase Books for Library","Madhya Pradesh","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","Purchase of books for students intellectual development at various schools of Burhanpur district","16-Aug-2024","100000","16-Dec-2024"
