"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2784","Normal/Others","WS/MP18221/2025-2026/140818-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High mast Light","14-Sep-2024","243000","05-Jun-2025"
"2785","Normal/Others","WS/MP18221/2025-2026/140819-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High mast Light","14-Sep-2024","243000","05-Jun-2025"
"2786","Normal/Others","WS/MP18221/2025-2026/140820-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High mast Light","14-Sep-2024","243000","05-Jun-2025"
"2787","Normal/Others","WS/MP18221/2025-2026/140821-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High mast Light","14-Sep-2024","243000","05-Jun-2025"
"2788","Normal/Others","WS/MP18221/2025-2026/140822-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High mast Light","14-Sep-2024","243000","05-Jun-2025"
"2789","Normal/Others","WS/MP18221/2025-2026/140824-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","14-Sep-2024","243000","05-Jun-2025"
"2790","Normal/Others","WS/MP18221/2025-2026/140825-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","14-Sep-2024","243000","05-Jun-2025"
"2791","Normal/Others","WS/MP18221/2025-2026/140826-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","14-Sep-2024","243000","05-Jun-2025"
"2792","Normal/Others","WS/MP18221/2025-2026/140827-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","14-Sep-2024","243000","05-Jun-2025"
"2793","Normal/Others","WS/MP18221/2025-2026/140828-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","14-Sep-2024","243000","05-Jun-2025"
"2794","Normal/Others","WS/MP18221/2025-2026/140829-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","14-Sep-2024","243000","05-Jun-2025"
"2795","Normal/Others","WS/MP18221/2025-2026/140830-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","14-Sep-2024","243000","05-Jun-2025"
"2796","Normal/Others","WS/MP18221/2025-2026/140831-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","14-Sep-2024","243000","13-Jun-2025"
"2797","Normal/Others","WS/MP18221/2025-2026/140832-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","14-Sep-2024","243000","05-Jun-2025"
"2798","Normal/Others","WS/MP18221/2025-2026/140833-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","14-Sep-2024","243000","05-Jun-2025"
"2799","Normal/Others","WS/MP18221/2025-2026/140845-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2800","Normal/Others","WS/MP18221/2025-2026/140846-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2801","Normal/Others","WS/MP18221/2025-2026/140850-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2802","Normal/Others","WS/MP18221/2025-2026/140851-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2803","Normal/Others","WS/MP18221/2025-2026/140852-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2804","Normal/Others","WS/MP18221/2025-2026/140853-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2805","Normal/Others","WS/MP18221/2025-2026/140854-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2806","Normal/Others","WS/MP18221/2025-2026/140855-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2807","Normal/Others","WS/MP18221/2025-2026/140856-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2808","Normal/Others","WS/MP18221/2025-2026/140857-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2809","Normal/Others","WS/MP313/2024-2025/140862-Construction of public irrigation facilities","Arunachal Pradesh","EAST SIANG(Deputy Commisioner East Siang_IDA)","Shri Tapir Gao","ARUNACHAL EAST","C/o MIC at Sille Nallah & culvert at Jia Sika in East Siang District","15-Sep-2024","1000000","05-Feb-2025"
"2810","Normal/Others","WS/MP18221/2025-2026/140863-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2811","Normal/Others","WS/MP18221/2025-2026/140864-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2812","Normal/Others","WS/MP18221/2025-2026/140865-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2813","Normal/Others","WS/MP18221/2025-2026/140866-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2814","Normal/Others","WS/MP18221/2025-2026/140867-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2815","Normal/Others","WS/MP18221/2025-2026/140868-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2816","Normal/Others","WS/MP18221/2025-2026/140869-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2817","Normal/Others","WS/MP18221/2025-2026/140870-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2818","Normal/Others","WS/MP18221/2025-2026/140871-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2819","Normal/Others","WS/MP18221/2025-2026/140872-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2820","Normal/Others","WS/MP313/2024-2025/140877-Construction of culverts and bridges","Arunachal Pradesh","LOWER DIBANG VALLEY(Deputy Commisioner Lower Dibang Valley_IDA)","Shri Tapir Gao","ARUNACHAL EAST","C/o Culvert (2 nos) at Paglam Village in Lower Dibang Valley District","14-Sep-2024","600000","25-Nov-2024"
"2821","Normal/Others","WS/MP313/2024-2025/140878-Construction of roads, link roads, pathways or any other road with or without drainage system","Arunachal Pradesh","LOWER DIBANG VALLEY(Deputy Commisioner Lower Dibang Valley_IDA)","Shri Tapir Gao","ARUNACHAL EAST","C/o RLR at Ekisang Village in Lower Dibang Valley District","14-Sep-2024","1000000","23-Oct-2024"
"2822","Normal/Others","WS/MP18221/2025-2026/140879-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2823","Normal/Others","WS/MP18221/2025-2026/140880-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2824","Normal/Others","WS/MP18221/2025-2026/140881-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2825","Normal/Others","WS/MP18221/2025-2026/140882-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2826","Normal/Others","WS/MP18221/2025-2026/140883-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2827","Normal/Others","WS/MP18221/2025-2026/140884-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2828","Normal/Others","WS/MP18221/2025-2026/140885-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2829","Normal/Others","WS/MP18221/2025-2026/140886-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2830","Normal/Others","WS/MP18221/2025-2026/140887-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2831","Normal/Others","WS/MP18221/2025-2026/140888-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2832","Normal/Others","WS/MP313/2024-2025/140889-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Arunachal Pradesh","LOHIT(DEPUTY COMMISSIONER LOHIT_IDA)","Shri Tapir Gao","ARUNACHAL EAST","Flood protection work at Mawai Nallah in Lohit District","14-Sep-2024","1000000","04-Feb-2025"
"2833","Normal/Others","WS/MP313/2024-2025/140890-Construction of buildings for community cultural activities","Arunachal Pradesh","ANJAW(Deputy Commisioner Anjaw_IDA)","Shri Tapir Gao","ARUNACHAL EAST","Extension of Welcome Gate at Tidding in Anjaw District","14-Sep-2024","2000000","05-Feb-2025"
"2834","Normal/Others","WS/MP313/2024-2025/140891-Construction of culverts and bridges","Arunachal Pradesh","EAST SIANG(Deputy Commisioner East Siang_IDA)","Shri Tapir Gao","ARUNACHAL EAST","C/o Culvert at Lekong Nallah, Ralung in East Siang District","15-Sep-2024","1000000","05-Feb-2025"
"2835","Normal/Others","WS/MP313/2024-2025/140892-Construction of public irrigation facilities","Arunachal Pradesh","EAST SIANG(Deputy Commisioner East Siang_IDA)","Shri Tapir Gao","ARUNACHAL EAST","C/o MIC at Ledum Sika Nallah in East Siang District","15-Sep-2024","500000","12-Mar-2025"
"2836","Normal/Others","WS/MP18221/2025-2026/140893-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2837","Normal/Others","WS/MP18221/2025-2026/140894-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2838","Normal/Others","WS/MP18221/2025-2026/140895-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2839","Normal/Others","WS/MP18221/2025-2026/140896-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2840","Normal/Others","WS/MP18221/2025-2026/140897-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2841","Normal/Others","WS/MP18221/2025-2026/140898-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2842","Normal/Others","WS/MP18221/2025-2026/140899-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2843","Normal/Others","WS/MP18221/2025-2026/140900-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2844","Normal/Others","WS/MP18221/2025-2026/140901-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2845","Normal/Others","WS/MP18221/2025-2026/140902-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2846","Normal/Others","WS/MP313/2024-2025/140903-Construction of boundary walls of existing public and community buildings","Arunachal Pradesh","EAST SIANG(Deputy Commisioner East Siang_IDA)","Shri Tapir Gao","ARUNACHAL EAST","Protection Wall at LP School Ruksin Village in East Siang District","15-Sep-2024","1000000","05-Feb-2025"
"2847","Normal/Others","WS/MP313/2024-2025/140904-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Arunachal Pradesh","EAST SIANG(Deputy Commisioner East Siang_IDA)","Shri Tapir Gao","ARUNACHAL EAST","Protection work to protect cultivation field at Kumdum, Rayang Village in East Siang District","15-Sep-2024","1000000","05-Feb-2025"
"2848","Normal/Others","WS/MP18221/2025-2026/140905-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2849","Normal/Others","WS/MP18221/2025-2026/140906-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2850","Normal/Others","WS/MP18221/2025-2026/140907-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2851","Normal/Others","WS/MP18221/2025-2026/140908-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2852","Normal/Others","WS/MP18221/2025-2026/140909-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2853","Normal/Others","WS/MP18221/2025-2026/140911-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2854","Normal/Others","WS/MP18221/2025-2026/140912-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2855","Normal/Others","WS/MP18221/2025-2026/140913-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2856","Normal/Others","WS/MP18221/2025-2026/140914-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2857","Normal/Others","WS/MP313/2024-2025/140915-Construction of public irrigation facilities","Arunachal Pradesh","EAST SIANG(Deputy Commisioner East Siang_IDA)","Shri Tapir Gao","ARUNACHAL EAST","C/o Irrigation Channel at WRC field Mirem Peneng in East Siang District","15-Sep-2024","500000","18-Feb-2025"
"2858","Normal/Others","WS/MP18221/2025-2026/140916-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2859","Normal/Others","WS/MP18221/2025-2026/140917-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2860","Normal/Others","WS/MP18221/2025-2026/140918-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2861","Normal/Others","WS/MP18221/2025-2026/140919-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2862","Normal/Others","WS/MP18221/2025-2026/140921-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2863","Normal/Others","WS/MP18221/2025-2026/140922-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2864","Normal/Others","WS/MP18221/2025-2026/140923-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2865","Normal/Others","WS/MP18221/2025-2026/140924-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2866","Normal/Others","WS/MP18221/2025-2026/140925-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2867","Normal/Others","WS/MP18221/2025-2026/140926-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2868","Normal/Others","WS/MP18221/2025-2026/140927-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2869","Normal/Others","WS/MP18221/2025-2026/140928-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2870","Normal/Others","WS/MP18221/2025-2026/140929-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2871","Normal/Others","WS/MP18221/2025-2026/140930-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2872","Normal/Others","WS/MP18221/2025-2026/140931-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2873","Normal/Others","WS/MP18221/2025-2026/140932-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2874","Normal/Others","WS/MP18221/2025-2026/140933-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS pole with LED semi High Mast Light","15-Sep-2024","243000","06-Jun-2025"
"2875","Normal/Others","WS/MP18221/2025-2026/140934-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2876","Normal/Others","WS/MP18221/2025-2026/140935-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS pole with LED semi High Mast Light","15-Sep-2024","243000","05-Jun-2025"
"2877","Normal/Others","WS/MP18221/2025-2026/140936-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED Semi High Mast Light","15-Sep-2024","243000","06-Jun-2025"
"2878","Normal/Others","WS/MP18221/2025-2026/140937-Lighting of public spaces","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","NARAYAN DAS AHIRWAR","JALAUN(SC)","MS Pole with LED Semi High Mast Light","15-Sep-2024","243000","06-Jun-2025"
