"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"342","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202855","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"343","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202857","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"344","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202858","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"345","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202854","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"346","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202864","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"347","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202844","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"348","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202820","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"349","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202819","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"350","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202825","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"351","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202826","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"352","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202821","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"353","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202829","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"354","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202828","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"355","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202830","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"356","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202831","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"357","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202833","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"358","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202834","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"359","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202840","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"360","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202846","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"361","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202842","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"362","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202841","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"363","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202874","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"364","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202850","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"365","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202931","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"366","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202838","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"367","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202839","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"368","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202875","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"369","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202904","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"370","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202922","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"371","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202921","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"372","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202920","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"373","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202926","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"374","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202925","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"375","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202924","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"376","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202923","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"377","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202932","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"378","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202930","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"379","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202929","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"380","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202940","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"381","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202939","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"382","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202938","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"383","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202937","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"384","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202936","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"385","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202934","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"386","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202944","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"387","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202906","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"388","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202943","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"389","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202861","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"390","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202903","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"391","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202902","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"392","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202905","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","01-Aug-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"393","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202897","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","01-Aug-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"394","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202872","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","01-Aug-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"395","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP148/2025-2026/254819","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","17-Aug-2026","RONAK CONSTRUCTION AND INTERPRISES","Payment In-Progress","949952"
"396","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2024-2025/133081","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","21-Aug-2026","AMBAY CONSTRUCTION CO","Payment In-Progress","664147"
"397","Jammu And Kashmir","Construction of water tanks","WS/MP839/2025-2026/258707","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","27-Jun-2026","TANVEER AHMED","Payment In-Progress","127000"
"398","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/205177","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","05-Aug-2026","PRESIDENT VILLAGE LEVEL COMMITTEE ANANTHAIAHGARIPALLI GP","Payment In-Progress","495171"
"399","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/205179","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","05-Aug-2026","PRESIDENT VILLAGE LEVEL COMMITTEE ANANTHAIAHGARIPALLI GP","Payment In-Progress","499929"
"400","West Bengal","Construction of rooms and halls in school and colleges","WS/MP18383/2025-2026/177012","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","18-Aug-2026","K B CONSTRUCTION","Payment In-Progress","569850"
"401","Karnataka","Street lights","WS/MP086/2026-2027/169460","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","23-Jul-2026","RAGHANJANEYA ENTERPRISES","Payment In-Progress","299410"
"402","Uttar Pradesh","Street lights","WS/MP186/2024-2025/141373","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","18-May-2026","MS SUKHADA CONSTRUCTIONS","Payment In-Progress","138000"
"403","Karnataka","Construction of common work sheds/ common covered sitting area","WS/MP086/2025-2026/230880","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","03-Sep-2026","THE SHRI MAHADEV COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD HARSOLA","Payment In-Progress","556775"
"404","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18316/2026-2027/266894","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","05-Aug-2026","M P STATE AGRO INDUSTRIES  DEVELOPEMENT CORPORATION LTD","Payment In-Progress","190930"
"405","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18316/2026-2027/266895","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","05-Aug-2026","M P STATE AGRO INDUSTRIES  DEVELOPEMENT CORPORATION LTD","Payment In-Progress","190930"
"406","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18316/2026-2027/266896","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","05-Aug-2026","M P STATE AGRO INDUSTRIES  DEVELOPEMENT CORPORATION LTD","Payment In-Progress","190930"
"407","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18316/2026-2027/266897","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","05-Aug-2026","M P STATE AGRO INDUSTRIES  DEVELOPEMENT CORPORATION LTD","Payment In-Progress","190930"
"408","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18316/2026-2027/266893","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","05-Aug-2026","M P STATE AGRO INDUSTRIES  DEVELOPEMENT CORPORATION LTD","Payment In-Progress","381860"
"409","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18316/2026-2027/266892","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","05-Aug-2026","M P STATE AGRO INDUSTRIES  DEVELOPEMENT CORPORATION LTD","Payment In-Progress","381860"
"410","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18316/2026-2027/279503","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","05-Aug-2026","M P STATE AGRO INDUSTRIES  DEVELOPEMENT CORPORATION LTD","Payment In-Progress","381860"
"411","Rajasthan","Providing drains and gutters for public drainage","WS/MP145/2025-2026/232978","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","28-Jul-2026","AMAR SUKH TRADING COMPANY","Payment In-Progress","232099"
"412","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP196/2024-2025/140579","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","10-Jul-2026","ATLAS JOB SERVICES PVT LTD","Payment In-Progress","1781547"
"413","Tamil Nadu","Construction of community centers and community halls","WS/MP165/2026-2027/226753","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","02-Sep-2026","LAKSHMI N","Payment In-Progress","984873"
"414","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/145860","DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","06-Aug-2026","M S CONSTRUCTION","Payment In-Progress","834314"
"415","Punjab","Development of playfields and sports grounds","WS/MP235/2026-2027/288246","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","03-Sep-2026","Surjeet Singh","Payment In-Progress","39000"
"416","Rajasthan","Construction of community centers and community halls","WS/MP145/2025-2026/230421","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","19-Aug-2026","Parmeshwar Kumawat","Payment In-Progress","12250"
"417","Rajasthan","Construction of community centers and community halls","WS/MP145/2025-2026/230421","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","19-Aug-2026","Kamla Devi Kumawat","Payment In-Progress","12250"
"418","Rajasthan","Construction of community centers and community halls","WS/MP145/2025-2026/230421","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","19-Aug-2026","Ramkishan Kumawat","Payment In-Progress","28600"
"419","Rajasthan","Construction of community centers and community halls","WS/MP145/2025-2026/230421","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","19-Aug-2026","Bheru Lal Kumawat","Payment In-Progress","12250"
"420","Rajasthan","Construction of community centers and community halls","WS/MP145/2025-2026/230421","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","19-Aug-2026","Ganpat Nayak","Payment In-Progress","12000"
"421","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP101/2026-2027/299059","WAYANAD(DISTRICT COLLECTOR WAYANAD_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","22-Aug-2026","ABHILASH K K","Payment In-Progress","964189"
"422","Madhya Pradesh","Forest conservation infrastructure","WS/MP18362/2026-2027/278418","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","Shri Banshilal Gurjar (2024-30) (2024-2030)","Elected MP","02-Sep-2026","Gram panchayat goverdhanpura","Payment In-Progress","250000"
"423","Karnataka","Street lights","WS/MP086/2026-2027/169459","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","23-Jul-2026","CHOWDESHA U R","Payment In-Progress","199245"
"424","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP081/2025-2026/210497","RAMGARH(Deputy Commissioner ramgarh_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","27-Jul-2026","DILIP NAYAK","Payment In-Progress","1248274"
"425","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP840/2024-2025/168247","Palnadu(District Collector Palnadu_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","04-Aug-2026","MS RAGHAVENDRA CONSTRUCTIONS","Payment In-Progress","4840446"
"426","Puducherry","Purchase of IT systems, including hardware and software for educational purposes","WS/MP139/2026-2027/285062","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","01-Aug-2026","ALTRUISTIC BUSINESS SOLUTIONS","Payment In-Progress","549999"
"427","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP18334/2024-2025/152225","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","28-Jul-2026","Siddavatam Rama Devi VLC President","Payment In-Progress","392055"
"428","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/259394","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","27-Jul-2026","A S CONTRACTOR","Payment In-Progress","1613739"
"429","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/259392","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","12-Aug-2026","A S CONTRACTOR","Payment In-Progress","2689565"
"430","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","04-Aug-2026","Raman Singh","Payment In-Progress","7410"
"431","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2025-2026/232820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","04-Aug-2026","Shivnath singh","Payment In-Progress","7410"
"432","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2025-2026/235693","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","05-Aug-2026","SHAILESH SAHEBRAO TATTE","Payment In-Progress","300000"
"433","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2025-2026/235697","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","05-Aug-2026","SHAILESH SAHEBRAO TATTE","Payment In-Progress","300000"
"434","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2025-2026/235701","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","05-Aug-2026","SHAILESH SAHEBRAO TATTE","Payment In-Progress","700000"
"435","Tamil Nadu","Lighting of public spaces","WS/MP163/2025-2026/260906","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","27-Aug-2026","GODS PLAN PRIVATE LIMITED","Payment In-Progress","299846"
"436","Tamil Nadu","Construction of water tanks","WS/MP166/2026-2027/213255","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","17-Aug-2026","MUTHUSAMY P","Payment In-Progress","1516609"
"437","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/259395","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","12-Aug-2026","SHRI BALAJI TRANSPORT COMPANY","Payment In-Progress","2689565"
"438","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Kulwinder Singh","Payment In-Progress","99000"
