"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3173","Tamil Nadu","Lighting of public spaces","WS/MP162/2025-2026/230258","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","20-Feb-2026","TECHLITE ENGINEERINGS","Payment Success","399430"
"3174","Maharashtra","Street lights","WS/MP18290/2025-2026/200321","BEED(DISTRICT COLLECTOR BEED_IDA)","Shri Chandrakant Damodar Handore (2024-30) (2024-2030)","Elected MP","16-Feb-2026","AJAY MANJARAM YADAV","Payment Success","998121"
"3175","Maharashtra","Street lights","WS/MP18290/2025-2026/200322","BEED(DISTRICT COLLECTOR BEED_IDA)","Shri Chandrakant Damodar Handore (2024-30) (2024-2030)","Elected MP","16-Feb-2026","AJAY MANJARAM YADAV","Payment Success","998121"
"3176","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/213181","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","17-Feb-2026","ADI SATYANARAYANA","Payment Success","483621"
"3177","Rajasthan","Construction of public libraries and reading rooms","WS/MP147/2025-2026/186614","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","16-Feb-2026","MATHAR CONSTRUCTION COMPANY","Payment Success","774993"
"3178","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18425/2025-2026/215034","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","18-Jun-2026","The Puneet Cooperative Labour and Construction Society Limited","Payment Success","257630"
"3179","Haryana","Construction of water tanks","WS/MP18425/2025-2026/247826","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","26-Jun-2026","The Puneet Cooperative Labour and Construction Society Limited","Payment Success","189914"
"3180","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18425/2025-2026/215055","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","21-Feb-2026","The Puneet Cooperative Labour and Construction Society Limited","Payment Success","487913"
"3181","Punjab","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP844/2025-2026/258444","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","16-Mar-2026","J S Contractor","Payment Success","259725"
"3182","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18402/2025-2026/219929","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","01-Apr-2026","The Shiri Ram Coop L and C society","Payment Success","670832"
