work_id,dataset_count,datasets
WS/MP574/2025-2026/187902,1,LS_completed
WS/MP18326/2025-2026/174958,1,LS_completed
WS/MP18326/2025-2026/174960,1,LS_completed
WS/MP18355/2025-2026/158366,2,LS_completed|RS_sanctioned
WS/MP005/2025-2026/175389,1,LS_completed
WS/MP18326/2025-2026/174962,1,LS_completed
WS/MP18326/2025-2026/174955,1,LS_completed
WS/MP18326/2025-2026/174961,1,LS_completed
WS/MP18188/2025-2026/184573,1,LS_completed
WS/MP740/2025-2026/181319,1,LS_completed
WS/MP18188/2025-2026/149969,2,LS_completed|RS_sanctioned
WS/MP005/2025-2026/175520,1,LS_completed
WS/MP18065/2024-2025/169947,1,LS_completed
WS/MP561/2025-2026/191535,1,LS_completed
WS/MP18338/2025-2026/157809,2,LS_completed|RS_sanctioned
WS/MP18338/2025-2026/157811,2,LS_completed|RS_sanctioned
WS/MP18338/2025-2026/157812,2,LS_completed|RS_sanctioned
WS/MP18338/2025-2026/157835,2,LS_completed|RS_sanctioned
WS/MP18229/2025-2026/166239,1,LS_completed
WS/MP18229/2025-2026/166225,1,LS_completed
WS/MP18229/2025-2026/166226,1,LS_completed
WS/MP429/2025-2026/211548,1,LS_completed
WS/MP18047/2024-2025/165132,1,LS_completed
WS/MP18323/2025-2026/146707,2,LS_completed|RS_sanctioned
WS/MP18047/2025-2026/197667,1,LS_completed
WS/MP18047/2024-2025/175985,1,LS_completed
WS/MP18047/2024-2025/175992,1,LS_completed
WS/MP468/2024-2025/185958,1,LS_completed
WS/MP18047/2024-2025/175987,1,LS_completed
WS/MP18069/2025-2026/200443,1,LS_completed
WS/MP526/2024-2025/150354,2,LS_completed|RS_sanctioned
WS/MP468/2024-2025/185959,1,LS_completed
WS/MP468/2024-2025/185960,1,LS_completed
WS/MP468/2024-2025/185953,1,LS_completed
WS/MP468/2024-2025/185955,1,LS_completed
WS/MP18047/2024-2025/175989,1,LS_completed
WS/MP468/2024-2025/185956,1,LS_completed
WS/MP468/2024-2025/185957,1,LS_completed
WS/MP468/2024-2025/185952,1,LS_completed
WS/MP468/2024-2025/185943,1,LS_completed
WS/MP18047/2024-2025/165136,1,LS_completed
WS/MP468/2024-2025/185938,1,LS_completed
WS/MP18047/2024-2025/175990,1,LS_completed
WS/MP468/2024-2025/185939,1,LS_completed
WS/MP468/2024-2025/185944,1,LS_completed
WS/MP468/2024-2025/185940,1,LS_completed
WS/MP18047/2024-2025/176000,1,LS_completed
WS/MP468/2024-2025/185936,1,LS_completed
WS/MP468/2024-2025/185937,1,LS_completed
WS/MP18047/2024-2025/176003,1,LS_completed
WS/MP18238/2024-2025/145048,2,LS_completed|RS_sanctioned
WS/MP18047/2025-2026/197670,1,LS_completed
WS/MP18238/2024-2025/145049,2,LS_completed|RS_sanctioned
WS/MP18238/2024-2025/145045,2,LS_completed|RS_sanctioned
WS/MP18039/2025-2026/199522,1,LS_completed
WS/MP18238/2024-2025/145040,2,LS_completed|RS_sanctioned
WS/MP600/2024-2025/158610,2,LS_completed|RS_sanctioned
WS/MP828/2024-2025/150277,2,LS_completed|RS_sanctioned
WS/MP18238/2024-2025/145039,2,LS_completed|RS_sanctioned
WS/MP18238/2024-2025/145006,2,LS_completed|RS_sanctioned
WS/MP18024/2025-2026/148296,2,LS_completed|RS_sanctioned
WS/MP18186/2025-2026/173221,1,LS_completed
WS/MP524/2024-2025/168898,1,LS_completed
WS/MP18024/2024-2025/163852,2,LS_completed|RS_sanctioned
WS/MP18238/2024-2025/145011,2,LS_completed|RS_sanctioned
WS/MP541/2024-2025/172421,1,LS_completed
WS/MP541/2024-2025/172423,1,LS_completed
WS/MP18238/2024-2025/145007,2,LS_completed|RS_sanctioned
WS/MP18238/2024-2025/145038,2,LS_completed|RS_sanctioned
WS/MP393/2025-2026/164271,2,LS_completed|RS_sanctioned
WS/MP18238/2024-2025/145043,2,LS_completed|RS_sanctioned
WS/MP18238/2024-2025/145042,2,LS_completed|RS_sanctioned
WS/MP429/2025-2026/193671,1,LS_completed
WS/MP18238/2024-2025/145041,2,LS_completed|RS_sanctioned
WS/MP18238/2024-2025/142932,2,LS_completed|RS_sanctioned
WS/MP18069/2025-2026/171754,1,LS_completed
WS/MP429/2025-2026/193106,1,LS_completed
WS/MP758/2025-2026/157283,2,LS_completed|RS_sanctioned
WS/MP429/2025-2026/193676,1,LS_completed
WS/MP18175/2025-2026/171234,1,LS_completed
WS/MP005/2025-2026/164299,2,LS_completed|RS_sanctioned
WS/MP18175/2025-2026/171235,1,LS_completed
WS/MP18325/2024-2025/156416,2,LS_completed|RS_sanctioned
WS/MP18312/2025-2026/166170,1,LS_completed
WS/MP18312/2025-2026/166171,1,LS_completed
WS/MP18054/2025-2026/185033,1,LS_completed
WS/MP18054/2025-2026/178425,1,LS_completed
WS/MP18054/2025-2026/178192,1,LS_completed
WS/MP18014/2024-2025/167384,1,LS_completed
WS/MP432/2025-2026/206012,1,LS_completed
WS/MP429/2025-2026/208966,1,LS_completed
WS/MP18089/2025-2026/190900,1,LS_completed
WS/MP249/2025-2026/186406,1,LS_completed
WS/MP18011/2025-2026/194386,1,LS_completed
WS/MP422/2025-2026/194366,1,LS_completed
